RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31
102001,0,United States,country,,134.86469265367316,135.2941176470588,137.20091712851567,137.06016597510373,139.4652448657188,140.87602459016392,141.68454613653412,145.06934097421203,146.6474417505969,148.14490922929926,150.03257142857143,150.0,142.9746508018624,143.8279457768509,144.0397140418267,145.11764705882354,147.2093023255814,147.70100179809916,149.225332970916,150.83913221449038,152.8023491292021,154.37292051756006,155.22190899367934,153.68668486157634,148.39802130898022,148.57386612620508,150.16863182853393,149.6726862302483,149.10929363528692,151.04848484848486,154.09950946040644,157.84719805081795,160.19193083573487,162.67967189974524,164.50670097460963,165.40438533429187,158.09051456912584,161.98924997053763,163.53013530135303,167.0486438392997,170.4676334892176,173.84168364747836,178.77797063562832,181.18430273300632,184.2634281200632,188.44287330316743,189.8667388949079,192.49921923797626,188.00967854853928,191.01769911504425,194.10570948593627,197.864768683274,202.13577421815407,204.51693851944793,206.38936832516538,208.61122733612274,208.75081116158339,210.63526963914103,209.53900709219857,206.1312336954389,201.21598147075855,199.33554817275748,201.1494252873563,202.47230095995093,204.6781448301605,205.35714285714286,205.85409695919742,207.39254583709047,208.1144563457993,208.77944325481798,207.32542982618048,207.87245971203015,203.586186540732,203.48928974069898,205.90650826446281,207.7562326869806,208.49176172370088,208.33333333333334,207.8728902719488,207.55632370882472,208.99129030193768,211.15107913669064,208.70655842124083,208.43852596708186,206.41444664481713,205.86311326468808,205.34083625759104,206.4026958719461,203.30778539733762,205.19463459220992,204.7846889952153,206.06326889279438
394913,1,"New York, NY",msa,NY,232.26877764164476,241.30791505791507,235.01360712518556,247.21273067619927,247.05882352941177,258.8464156262586,259.6439169139466,250.0,251.12365994604,253.83785867000404,261.52980877390326,264.1737716984604,245.58825757575758,246.6939481356231,244.24939467312348,241.54589371980677,260.75331125827813,260.1020408163265,254.64192128942943,251.3319008264463,249.0909090909091,252.84665579119087,255.63879456706283,270.02967359050444,246.60180995475113,245.87421480429686,253.02406876790832,264.3639838542398,244.5852668213457,263.6297559286827,267.5,261.3623957040596,265.4271158263385,273.34929866575436,282.5838926174497,288.8766094420601,261.9878352983319,283.8541666666667,295.23771806059136,306.87104622871044,311.28160780744145,296.51162790697674,309.87773561066723,330.461420123072,359.2321996995506,331.4837377387713,321.7845627747924,330.28695689308984,331.05377601358805,310.5324262591904,335.0039095271653,373.6579528718704,360.48324240062357,379.3103448275862,375.0,412.6078215189052,351.2522907758094,407.4074074074074,469.25238898257453,441.1290322580645,368.30805546411455,345.2401907268378,404.3207832519909,425.76014523475635,402.9304029304029,465.00061196514247,439.725,427.9859484777518,414.42034485047895,397.05882352941177,428.9440161190948,475.1869476546567,440.1154401154401,398.2608695652174,505.050505050505,499.3556701030928,486.1111111111111,527.9612505504183,554.2168674698795,605.7692307692307,550.6271030896298,438.2461139896373,598.1391227292867,552.4419069179039,624.1666666666666,437.93202764976957,470.7452589251752,454.3658632951403,427.6426966292135,507.89473684210526,453.42639272791143,562.2274340770791
753899,2,"Los Angeles, CA",msa,CA,364.01495433249727,383.47069597069594,393.74193418661866,391.14935923980386,414.77272727272725,384.12698412698415,384.8698792133055,418.2082778868203,401.5929203539823,392.9012345679012,383.1918136294361,390.6666666666667,429.77642351271743,396.8005780256875,424.3041412084182,447.9512516469038,440.8294061971943,434.19251436928204,461.49408710700897,441.5584415584416,444.11473788328385,459.57288713018426,485.64505119453923,413.86231064469695,450.281425891182,507.7619663648124,482.3747680890538,451.74537987679673,417.0869474562135,513.9227889564811,492.90150121695183,434.74840344719075,501.3347570742125,470.8960104643558,437.4523264683448,481.3212305875296,494.48204060385217,459.5378674638764,517.3501577287067,545.4783184086564,500.3335557038025,550.4469987228608,581.1536205611956,547.5548780487804,573.9789745653867,552.7210884353741,554.1237113402062,532.40236460717,591.6334661354582,590.9303519170492,613.7631742095474,635.4329358155608,756.8534182318256,704.2359350051659,684.6846846846847,667.4029936851146,617.6582038651004,579.254930606282,607.3667711598746,594.979079497908,582.3094723850663,549.4805904866047,602.0066889632106,574.8792270531401,595.331457710568,595.7463284770374,578.6162276771138,630.2390561937286,602.4096385542168,610.5398457583548,572.8155339805825,554.522606884563,659.0308370044053,570.4,567.6163343739368,554.151273575734,541.8585749119479,567.5015271838729,575.8708662192743,542.840023966447,643.2804257288293,619.4563662374821,580.3817504655493,593.3433148755444,603.4524862111069,654.1318298496517,595.5853062633612,631.8681318681319,653.1049250535332,577.5507999042488,659.6268375424048,581.7643081532028
394463,3,"Chicago, IL",msa,IL,134.93132328308207,143.96,143.35140307710077,145.0029761904762,148.8095238095238,148.7828702582778,148.26815877518817,141.26310732745515,149.65814125776325,145.26096059424316,147.23049753129172,146.85786934741174,138.88179834599248,144.74147922390108,149.5075965965538,152.441393875396,160.0,152.37544169611309,168.07610993657505,161.86550925925926,156.75057208237988,157.2700296735905,152.18489415257517,159.36867088607596,147.29764675459012,160.48509763617676,157.2006107731554,160.27561414020371,154.39393939393938,161.34080717488789,158.6944288126055,166.057236112794,167.7300636520801,166.94174350377202,162.6834307178631,164.59111975550917,160.91806157012508,165.0,170.17650399841204,169.31088951112687,171.01892812452945,179.836,181.75,177.55299539170508,180.80851063829786,188.68284487459107,187.10720887245841,189.1317512274959,186.91808678907915,185.86387434554973,195.73097826086956,196.50207087000774,195.36163522012578,208.54378188871152,206.79207920792078,198.12332439678283,200.369442705072,194.3638332430969,199.77217059011505,193.05522953906427,190.2618657937807,190.58695652173913,197.96446700507613,199.99966666666666,206.0855441256091,201.7077902394665,201.70846964740093,200.89898472050527,202.47174738841406,200.94562647754137,199.96,206.2897324272949,199.12412476129853,204.00754975978037,204.0287047251333,212.12058539632068,211.02640319369914,222.40907184722107,217.12988551125147,210.5666156202144,214.16596814752725,209.5482068001863,205.58139534883722,217.14841604425493,215.47675779560956,207.40828562231266,209.2391304347826,221.27785515320335,217.123699078204,221.75338753387533,218.73710276516715,214.98676084828463
394514,4,"Dallas, TX",msa,TX,131.47027865496,131.4143690349947,132.44818652849742,131.5136476426799,135.1907756813417,137.11662127509567,137.67813559688113,137.4698318342178,138.87075718015666,139.19633966869623,137.58145559939766,138.6306001690617,138.06791739888448,139.23233535051577,136.7537313432836,138.42482100238664,138.9209261686326,138.14594698224028,139.74096796182687,140.33424077434967,142.40263781471776,141.6767189384801,140.7265923013948,139.66480446927375,141.22805549835527,140.0919465068709,141.4605760385849,143.2983842349236,141.45421122994654,141.6838530541679,143.1859929413994,145.2032913843175,145.6094106898127,149.23076923076923,148.85250776491353,150.62599305631593,151.55976514955006,153.45,153.94758140537044,161.57130358705163,163.70177817962627,162.21262067174086,167.1419306289654,170.05981258860885,177.42064132516964,175.84992983603405,177.85640543551548,179.0150032615786,180.10560344827587,184.48333333333332,190.06211180124222,194.75885299349287,200.0240513094602,205.924249642687,202.92747837658018,204.01622718052738,202.72836940037635,200.2240926605465,198.50574712643677,195.71245217891556,193.42810533675134,190.47619047619048,192.50919842312746,192.5206077100699,193.23453608247422,193.79934210526315,194.30518134715027,195.57827926657265,194.62162765320522,192.4787662047385,190.17295597484278,189.16747539639147,187.87878787878788,186.44273453684522,189.90517140658554,191.95229982964224,192.42155121373594,190.54560417839838,191.03436917904685,188.44707207207205,191.8819188191882,191.36107000201156,187.16508912549068,189.131692875255,184.11470186618115,184.86886348352388,184.63003993636434,184.5036319612591,180.69545662324094,181.76223632310067,180.5731682496608,180.21719038817005
394692,5,"Houston, TX",msa,TX,114.8114795915146,114.90191095640427,116.41841179213048,118.22549019607843,118.74531551362237,119.52505127453853,120.77294685990339,120.61468836557515,121.01227722772278,120.33490162532078,119.61961961961961,122.4105461393597,120.27619629463643,120.81351554807566,124.01562304344779,122.32641385626991,124.71144784876141,126.35104570474067,126.89046588984687,127.25446647087617,128.28601472134596,127.19058441558442,128.92924232936755,127.77309744453805,124.4978736049781,125.43509895227008,127.88122029509825,128.0878712871287,125.55272108843538,128.54158227248047,129.25537493445202,130.253766851705,131.75691282144402,135.0,134.6438066465257,137.2549019607843,137.1756487025948,138.0071763731714,143.6575375261512,148.12923239889534,148.01347017318795,152.85222271855287,155.36337020784092,157.5194877505568,156.69823139277818,159.602840112202,162.3360399750156,164.85141509433961,161.43658240868623,165.87395957193817,169.66989164086687,173.67503718458158,173.7261652542373,175.9863265125428,175.17988552739166,178.9431545236189,176.21514463613957,172.9416484209063,171.37847953361478,170.0,164.72671941570297,165.6020379142555,168.14760920028377,169.53219838502096,171.6158889317393,170.48458977548967,171.9324535442745,171.97821652606532,170.12288786482335,167.36314189202108,165.13291493262847,170.29491945477076,166.3095656134416,165.3846153846154,170.9781093549824,170.36443784909568,170.96134786917742,172.13952095808384,172.34955191087263,170.06335625439345,171.40859658208183,173.67332382310985,169.00056148231332,171.06842737094837,168.2396338331056,165.97510373443984,170.78504122497054,170.7239942007974,168.19404105752162,168.68358399572458,168.600105249624,165.89250165892503
395209,6,"Washington, DC",msa,VA,181.3419689119171,176.5688478350104,185.95846856960026,184.7358670575317,181.04841447200928,183.09447983014863,184.38994082840236,190.17337628958597,186.55443466810442,193.64688601645125,189.115625,191.87785388127855,186.8070818070818,178.89926869784762,186.25776397515529,188.00694444444446,186.41347967898764,189.51058238636364,191.98883876902502,188.83173059906701,198.04996953077392,193.3869803358831,195.61657773825402,196.04166666666666,198.71002865329513,193.36785554060117,194.96225120109816,202.37285582121729,199.8387515262515,199.97035175879398,212.5,211.64008221075443,213.30357142857142,216.54956689124157,215.73614076689864,217.32637439109254,204.942360560093,217.8119266055046,225.4217273954116,228.71763997591813,225.91008765424775,228.6035192811681,244.12885600667016,243.02188795042824,239.72001162325137,263.1466965285554,254.73706896551724,243.94856278366112,236.062,235.20159296896458,240.4006882989184,241.91919191919192,249.3873705103759,250.48841098864395,255.1746442432083,249.42015050167225,251.2934446505875,257.06572262448185,262.5837563451777,264.44448772886636,250.29690560125343,248.41307125871975,251.23036187113857,251.50472914875323,257.12,270.40816326530614,266.7274342125004,261.0597104945718,256.8839358031563,259.93374108053007,254.83690112130478,266.1713286713287,275.8343711083437,268.0216975111678,280.5952380952381,283.12916666666666,274.4880785413745,277.5594530321046,272.21462747778537,264.5842640084253,274.55622795910244,265.0066698302225,269.9692263497999,279.98720223875506,280.2598786440235,274.7456857402361,278.51191746709355,274.37075581102204,270.5846920289855,274.76363884839645,270.2642642642643,272.7021070216091
394974,7,"Philadelphia, PA",msa,PA,164.88291666666666,166.11871426168852,165.01861285168945,169.75505093482693,167.3998512846449,163.0612244897959,163.75385867135992,166.03178368121442,162.52158273381295,174.21037581288198,165.459258345317,165.17633928571428,158.80434695912263,159.00819672131146,160.4969501188363,162.16210526315788,158.93268166109698,165.55740037950665,161.7980563654033,164.88661915964548,164.84720758693362,164.82621082621083,163.59797743240367,159.66137123745818,158.62642924086225,161.09000825763832,162.6926610813563,166.50641025641028,164.08723404255318,167.39396708479865,171.70768952197005,173.5698689956332,173.0990187803334,173.86710731962938,179.48199655023717,175.3047306983412,167.5,180.2325581395349,183.63273453093814,180.57931034482758,185.27667984189722,193.2705712726464,193.7984251968504,189.77310301407203,198.92354941730167,206.73037542662115,202.66829186281103,208.82972972972973,202.55339524085898,203.49978383052314,208.03256480194875,205.25871766029246,219.62436501261564,218.85810971753705,229.26829268292684,223.1130849220104,229.0073646030148,237.07444286391654,222.18912355652355,234.24705010819355,227.66,226.86567164179104,233.8412366198306,245.03542244442497,241.66666666666666,245.01634146341465,237.99333333333334,247.28762568467903,243.66,248.66,240.66,241.858607281725,250.65184141806674,234.82585645282532,239.06864904552128,243.16740088105726,255.63632086567867,248.99749627610686,255.77777777777777,253.84950166112958,251.23293838404035,268.57914201183434,264.3020901827333,253.03647497337593,257.9253355704698,246.25677433084272,249.16675204376656,281.7849423631124,260.96153846153845,250.0,276.15384615384613,266.66
394856,8,"Miami, FL",msa,FL,204.8460265784277,205.89314210473276,191.8819188191882,199.65990781984658,199.16351324437363,208.14540928765405,202.69939849812445,204.47805410156406,205.91334894613584,204.73423980222498,199.11983686874126,201.68137873055906,197.4167409498341,202.65291083271924,205.84983435139313,197.41518578352182,205.2807735217553,206.21550972988672,209.7389087200408,207.55135086650898,211.5987165775401,211.0521876897389,215.65955056179774,208.563247614839,205.4941087794699,204.93038468759573,209.41496598639455,206.80807585137194,210.25190392501466,210.98256021248966,213.65492624791625,211.6883116883117,221.08980258736358,224.48613760326185,224.76501838986513,229.37011419110257,220.2092511013216,225.83488620165008,240.235483304904,236.2103758279606,250.02121871599564,255.4185351270553,246.53300606247132,246.7315881987643,268.9545934530095,262.3425217663588,265.58891454965357,274.15969842357777,268.5043668122271,264.8059904697073,271.6116352201258,279.1283382789318,284.621884890319,281.75252161383287,293.625,280.7922272047833,284.5238492689109,291.5833333333333,288.5992647058824,293.5298526105421,304.6808118439179,300.530347672363,325.4229494868924,324.7870442203258,311.5468409586057,342.998585572843,334.5120226308345,320.04703006961927,330.73043266893535,351.3022410660206,349.40223149208896,314.3576340727765,352.31052842196584,338.9923329682366,347.33790801186944,366.50389623340357,347.82608695652175,344.0366972477064,352.66589094944675,341.1003236245955,359.70750619088216,367.36176894229396,358.314121037464,361.11035857451213,373.13432835820896,376.1363636363636,350.5058058051212,395.4451058549846,363.18758815232724,377.33732906955754,379.6394061175446,337.2434017595308
394347,9,"Atlanta, GA",msa,GA,101.37722372571224,101.99012269899218,103.19807692307693,103.9804469273743,105.6592039800995,107.129580456718,106.36956043956044,106.41136144964722,109.15823470383658,112.25787319879637,112.41053948807337,112.50896441061307,107.00706511492774,108.01743745261562,110.5318588730911,110.48557353976074,113.16366827555946,111.7426608369769,114.6245435326975,114.48627951499681,117.57021034678795,115.69650205761317,114.03494509767506,119.33976200246204,114.67600700525394,117.09173551790133,119.76858510142577,123.78868463249694,119.46802490096208,122.11404728789987,123.98918647465993,128.1656399726215,127.6880502354883,130.42304070693902,129.81283068783068,132.18657799182978,132.45956774576152,133.6885568226504,138.33231876037632,141.13173834039975,144.35910074514527,144.6832547538578,149.5262545266425,151.70454545454547,154.24912689173456,157.8536401357978,159.57728759335902,167.42230347349178,162.68709327548805,168.1127982646421,171.96611909650923,172.63841866978368,178.45403111739745,186.05684870188003,184.18277680140596,185.03721886708422,184.07142857142858,179.90285006195788,183.01244509516837,183.91861861502431,178.60098887552797,182.52984084880637,183.43373493975903,187.3131394879395,189.59731543624162,189.43170488534398,187.19166666666666,185.35634743875278,189.8008277289188,194.2090825967693,188.8936063936064,192.89340101522842,187.49861430163884,190.728402922749,189.74217527386543,195.5238359201774,194.20140515222482,191.2994289793005,192.06740594111554,192.2146847565842,196.27028096557183,196.59263466425767,198.72932745314222,195.00807071483473,191.71134020618555,192.35702832709782,189.7338403041825,193.4589800443459,192.49259624876603,192.69824603899764,195.91404231675193,191.35253639844808
